"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"HKD","10.50","10.80","10.62","10.71","RMA","20231110"
"CAD","59.45","61.15","60.24","60.70","RMA","20231110"
"AUD","52.65","54.15","53.37","53.76","RMA","20231110"
"SGD","60.40","62.15","61.21","61.69","RMA","20231110"
"DKK","11.70","12.05","11.88","11.97","RMA","20231110"
"SEK","7.50","7.70","7.58","7.64","RMA","20231110"
"NOK","7.30","7.50","7.41","7.47","RMA","20231110"
"USD","82.05","84.60","83.06","83.68","RMA","20231110"
"GBP","100.40","103.25","101.78","102.52","RMA","20231110"
"EUR","87.45","89.90","88.61","89.26","RMA","20231110"
"JPY","54.35","55.90","55.09","55.52","RMA","20231110"
"CHF","90.85","93.45","92.06","92.79","RMA","20231110"
"USD","82.05","84.6","83.06","83.68","BOB","20231110"
"USD.5.20","79.59","","","","BOB","20231110"
"USD.12","77.95","","","","BOB","20231110"
"GBP","100.85","103.7","102.22","102.95","BOB","20231110"
"EUR","87.65","90.15","88.85","89.5","BOB","20231110"
"JPY","54.25","55.8","54.99","55.41","BOB","20231110"
"CHF","91","93.65","92.23","92.97","BOB","20231110"
"HKD","10.5","10.8","10.64","10.72","BOB","20231110"
"CAD","59.45","61.15","60.23","60.71","BOB","20231110"
"AUD","52.55","54","53.24","53.6","BOB","20231110"
"SGD","60.4","62.15","61.2","61.69","BOB","20231110"
"DKK","11.75","12.1","11.91","12","BOB","20231110"
"SEK","7.55","7.75","7.64","7.7","BOB","20231110"
"NOK","7.35","7.55","7.43","7.49","BOB","20231110"
"USD","82.05","84.60","83.06","83.68","TBL","20231110"
"USD.5.20","79.59","","","","TBL","20231110"
"USD.12","77.95","","","","TBL","20231110"
"GBP","100.40","103.25","101.78","102.52","TBL","20231110"
"EUR","87.45","89.90","86.61","89.26","TBL","20231110"
"JPY","54.35","55.90","55.09","55.52","TBL","20231110"
"CHF","90.85","93.45","92.06","92.79","TBL","20231110"
"HKD","10.50","10.80","10.62","10.71","TBL","20231110"
"CAD","59.45","61.15","60.24","60.70","TBL","20231110"
"AUD","52.65","54.15","53.37","53.76","TBL","20231110"
"SGD","60.40","62.15","61.21","61.69","TBL","20231110"
"DKK","11.70","12.05","11.88","11.97","TBL","20231110"
"SEK","7.50","7.70","7.58","7.64","TBL","20231110"
"NOK","7.30","7.50","7.41","7.47","TBL","20231110"
